f UK w_hedge, f UK r_hedge, f CAN w_hedge, f CAN r_hedge, f EU w_hedge, f EU r_hedge, f swi w_hedge, f swi r_hedge
0.031047, 0.003267, 0.020001, 0.007779, -0.008410, -0.007119, -0.000239, 0.001172
0.023651, -0.110227, 0.017514, -0.107495, -0.009062, -0.111968, -0.000241, -0.106843
0.019529, 0.058412, 0.017687, 0.064114, -0.008410, 0.066407, -0.000239, 0.066659
0.017499, 0.041557, 0.015550, 0.045951, -0.007259, 0.051233, -0.000233, 0.050462
0.018719, 0.042311, 0.016004, 0.049172, -0.007179, 0.047561, -0.000233, 0.049060
0.020489, 0.025550, 0.019058, 0.034208, -0.007020, 0.029511, -0.000234, 0.031708
0.022070, 0.015597, 0.018809, 0.024328, -0.007105, 0.017825, -0.000235, 0.020445
0.025314, 0.027731, 0.020453, 0.034551, -0.008363, 0.026409, -0.000243, 0.030725
0.026699, 0.038464, 0.020167, 0.037629, -0.008846, 0.022330, -0.000244, 0.029871
0.030085, 0.051536, 0.021867, 0.044465, -0.009694, 0.032549, -0.000252, 0.042215
0.025439, -0.015706, 0.011620, -0.021116, -0.009456, -0.028092, -0.000253, -0.021167
0.022623, -0.024410, 0.007908, -0.028174, -0.009872, -0.029612, -0.000256, -0.028103
0.023702, 0.005694, 0.007903, 0.002320, -0.009518, 0.003423, -0.000255, 0.003867
0.020205, 0.044998, -0.004168, 0.036725, -0.008730, 0.033141, -0.000247, 0.036573
0.021230, 0.012136, -0.003012, 0.001566, -0.008856, -0.002844, -0.000248, 0.001302
0.018510, -0.010100, -0.005487, -0.018033, -0.009020, -0.022395, -0.000248, -0.018759
0.018783, 0.005164, -0.004813, 0.000080, -0.009102, -0.005482, -0.000248, -0.000824
0.021631, -0.008785, -0.003390, -0.015295, -0.009122, -0.020553, -0.000254, -0.016199
0.019760, -0.018065, -0.009486, -0.017117, -0.008943, -0.022255, -0.000251, -0.018665
0.022019, -0.075991, -0.009845, -0.071923, -0.008795, -0.076906, -0.000251, -0.074181
0.023726, 0.027133, -0.011615, 0.034983, -0.008657, 0.030525, -0.000251, 0.031816
0.023665, 0.072001, -0.023300, 0.079137, -0.008217, 0.073487, -0.000249, 0.075390
0.031860, -0.018636, -0.010340, -0.020497, -0.008289, -0.024172, -0.000252, -0.020313
0.038033, -0.012219, -0.002681, -0.013357, -0.008593, -0.017490, -0.000254, -0.013819
0.030199, -0.055451, -0.025709, -0.057928, -0.008378, -0.065275, -0.000245, -0.060291
0.038322, -0.022136, -0.019157, -0.025756, -0.008275, -0.032024, -0.000246, -0.027022
0.043218, 0.053175, -0.023757, 0.052823, -0.007559, 0.045505, -0.000240, 0.049529
0.046131, -0.015782, -0.025027, -0.022576, -0.007225, -0.029471, -0.000237, -0.025065
0.047423, -0.044815, -0.022790, -0.038185, -0.007635, -0.046560, -0.000242, -0.044759
0.051079, -0.011225, -0.023236, -0.006861, -0.007435, -0.014706, -0.000241, -0.012363
0.048931, 0.075285, -0.040216, 0.079746, -0.006896, 0.070464, -0.000234, 0.073154
0.049700, 0.004426, -0.039968, 0.013231, -0.006977, 0.003129, -0.000233, 0.005141
0.050160, 0.065174, -0.028223, 0.074432, -0.007511, 0.066908, -0.000238, 0.069251
0.055711, 0.046555, -0.027362, 0.056432, -0.007428, 0.049761, -0.000236, 0.053320
0.057487, 0.034507, -0.015526, 0.047625, -0.008084, 0.041145, -0.000241, 0.045213
0.059829, 0.008251, -0.010497, 0.023126, -0.008691, 0.016835, -0.000244, 0.021714
0.062501, 0.013918, -0.004942, 0.021641, -0.008890, 0.013808, -0.000236, 0.021469
0.063272, 0.026653, -0.002887, 0.036072, -0.009977, 0.028132, -0.000265, 0.035728
0.063807, 0.068393, -0.003192, 0.072095, -0.010605, 0.063372, -0.000274, 0.071914
0.062401, -0.010247, -0.004036, -0.009165, -0.010301, -0.018426, -0.000260, -0.009329
0.061428, 0.034511, -0.006375, 0.031624, -0.010474, 0.022131, -0.000248, 0.031892
0.061494, -0.015522, -0.005481, -0.017608, -0.010167, -0.025644, -0.000246, -0.017450
0.061454, 0.005701, -0.009318, 0.005852, -0.010682, -0.001196, -0.000245, 0.005730
0.056615, 0.023081, -0.005452, 0.020719, -0.008380, 0.015311, -0.000211, 0.020638
0.055848, -0.007312, -0.005022, -0.011313, -0.008039, -0.015422, -0.000195, -0.011295
0.055244, 0.030277, -0.006568, 0.026460, -0.008401, 0.020928, -0.000199, 0.026236
0.056632, 0.016068, -0.008553, 0.013519, -0.010457, 0.006008, -0.000266, 0.012923
0.057449, 0.013766, -0.011346, 0.008805, -0.015569, -0.003103, -0.000389, 0.008263
0.055587, -0.005368, -0.012787, -0.016442, -0.015354, -0.028847, -0.000630, -0.017004
0.053890, 0.060194, -0.013687, 0.047087, -0.015153, 0.033653, -0.000940, 0.045800
0.055449, 0.005855, -0.012603, -0.003261, -0.015753, -0.017601, -0.002985, -0.008311
0.048204, -0.060289, -0.016145, -0.073978, -0.015874, -0.090742, -0.002850, -0.079008
0.048194, 0.006400, -0.016108, 0.010454, -0.015691, -0.007545, -0.002943, 0.005170
0.058167, -0.030356, -0.017161, -0.034078, -0.012948, -0.049129, -0.003875, -0.040428
0.056837, 0.103301, -0.016641, 0.102181, -0.012140, 0.088691, -0.003879, 0.096086
0.057759, -0.007683, -0.017278, -0.001018, -0.010074, -0.010742, -0.003895, -0.007468
0.054598, 0.007953, -0.006969, 0.012544, -0.012509, 0.004377, -0.004674, 0.007956
0.054534, -0.009528, -0.005794, -0.002226, -0.011755, -0.009078, -0.004507, -0.006810
0.060242, 0.000589, -0.007865, 0.022432, -0.013476, 0.015718, -0.005481, 0.018362
0.058361, 0.033824, -0.006728, 0.056854, -0.012698, 0.049632, -0.005215, 0.052153
0.057217, -0.020583, -0.003435, 0.003026, -0.012469, -0.004377, -0.005079, -0.001264
0.059528, 0.014594, 0.020009, 0.032778, -0.011737, 0.029608, -0.004543, 0.032046
0.056559, -0.025959, 0.022152, -0.007968, -0.012088, -0.006521, -0.004647, -0.004436
0.064720, 0.024066, 0.032109, 0.046784, -0.015395, 0.045468, -0.006026, 0.048808
0.054747, 0.000747, 0.020892, 0.016403, -0.015151, 0.007831, -0.005693, 0.013349
0.054982, 0.004204, 0.015565, 0.020075, -0.016075, 0.008733, -0.005685, 0.016593
0.051239, -0.008319, 0.016787, 0.007668, -0.015852, -0.004584, -0.005512, 0.003748
0.050050, -0.008231, 0.021999, 0.007100, -0.015766, -0.003222, -0.005431, 0.002130
0.048388, 0.039806, 0.027132, 0.051688, -0.015407, 0.043132, -0.005331, 0.048628
0.046386, 0.041991, 0.033315, 0.052479, -0.014854, 0.046005, -0.005065, 0.050928
0.055105, 0.026288, 0.056990, 0.032118, -0.015457, 0.035010, -0.005149, 0.042099
0.064916, -0.010288, 0.067504, -0.011481, -0.015588, 0.003140, -0.004967, 0.009755
0.067209, 0.064367, 0.076723, 0.066975, -0.017620, 0.080300, -0.005655, 0.086268
0.064981, 0.073756, 0.072157, 0.082071, -0.017865, 0.089204, -0.005900, 0.094184
0.072764, 0.006331, 0.093051, 0.012795, -0.019569, 0.017527, -0.006366, 0.025044
0.088915, -0.030823, 0.108198, -0.018517, -0.020743, -0.013821, -0.006607, -0.005188
0.096351, 0.006785, 0.109580, 0.017778, -0.021228, 0.030869, -0.006718, 0.037641
0.096697, -0.032754, 0.109503, -0.022528, -0.021381, 0.002296, -0.006860, 0.005585
0.100306, 0.046210, 0.113966, 0.058746, -0.022132, 0.080240, -0.007044, 0.083460
0.097468, -0.083899, 0.113936, -0.070828, -0.022665, -0.046225, -0.007260, -0.045829
0.103267, -0.061673, 0.129048, -0.047376, -0.024092, -0.024160, -0.007722, -0.021264
0.094130, 0.001770, 0.129948, 0.017213, -0.024566, 0.035582, -0.007752, 0.037251
0.086580, -0.017860, 0.122153, -0.000586, -0.024133, 0.006960, -0.007602, 0.013899
0.084720, 0.079980, 0.118374, 0.104171, -0.023875, 0.103591, -0.007536, 0.113585
0.082669, 0.003728, 0.117957, 0.025743, -0.024594, 0.016975, -0.007778, 0.025500
0.091135, 0.037905, 0.127528, 0.050833, -0.027254, 0.040292, -0.008419, 0.052033
0.089698, 0.040439, 0.131819, 0.043360, -0.029567, 0.034946, -0.010449, 0.052355
0.091612, -0.020585, 0.135606, 0.000350, -0.031875, -0.026085, -0.012339, -0.009508
0.094340, -0.023282, 0.136445, -0.031591, -0.032156, -0.025972, -0.012260, -0.012186
0.092898, -0.006954, 0.138313, -0.008887, -0.032500, -0.006331, -0.013519, 0.006785
0.091822, 0.036603, 0.147886, 0.037462, -0.032394, 0.028771, -0.015762, 0.040628
0.091373, -0.041337, 0.152857, -0.029616, -0.032550, -0.050342, -0.017031, -0.047246
0.093897, -0.191781, 0.151221, -0.196692, -0.032559, -0.200261, -0.016687, -0.182376
0.091530, -0.039834, 0.152703, -0.043249, -0.030953, -0.058139, -0.016477, -0.055433
0.080893, 0.024648, 0.121266, 0.019667, -0.024289, 0.015072, -0.014105, -0.004187
0.078334, 0.004400, 0.114744, 0.003416, -0.021858, 0.002479, -0.012434, -0.021519
0.078320, 0.041110, 0.114949, 0.035499, -0.021917, 0.034973, -0.012062, 0.024118
0.078365, 0.020161, 0.114636, 0.009645, -0.021832, 0.006812, -0.011347, 0.004520
0.079913, 0.012164, 0.120082, -0.006105, -0.022863, -0.014154, -0.011951, -0.006447
0.079712, -0.035262, 0.120533, -0.034462, -0.022632, -0.036974, -0.011803, -0.033906
0.078902, -0.019187, 0.121199, -0.015940, -0.020919, -0.013061, -0.011206, -0.014699
0.077543, -0.005189, 0.118336, 0.002221, -0.020876, 0.005002, -0.011052, 0.004617
0.076942, -0.079529, 0.119325, -0.074870, -0.020325, -0.068473, -0.010718, -0.071942
0.076553, 0.017975, 0.119143, 0.019883, -0.021265, 0.026802, -0.011146, 0.028985
0.071544, 0.046574, 0.111273, 0.058998, -0.020074, 0.050150, -0.010289, 0.057312
0.072920, 0.013766, 0.114672, 0.022917, -0.020527, 0.021096, -0.010558, 0.025384
0.075305, -0.012602, 0.117061, -0.004838, -0.022059, -0.003083, -0.011332, 0.002308
0.076407, 0.018561, 0.118885, 0.021483, -0.022222, 0.025727, -0.011430, 0.027850
0.075860, -0.023006, 0.118513, -0.023426, -0.022222, -0.019927, -0.011696, -0.014874
0.076881, -0.022949, 0.120279, -0.031064, -0.022770, -0.018355, -0.012153, -0.011648
0.075897, 0.000754, 0.117903, -0.003609, -0.023283, 0.013571, -0.012818, 0.020867
0.077748, -0.050571, 0.115603, -0.047909, -0.022258, -0.032819, -0.012304, -0.027715
0.078029, -0.040674, 0.115196, -0.045526, -0.023108, -0.016746, -0.012822, -0.013545
0.072295, 0.087679, 0.110643, 0.084685, -0.025920, 0.106669, -0.014481, 0.110152
0.069700, -0.049901, 0.103570, -0.049160, -0.026434, -0.028994, -0.014631, -0.026903
0.074678, -0.003349, 0.115445, -0.003610, -0.029826, 0.026042, -0.015915, 0.026603
0.072160, -0.064294, 0.105998, -0.063062, -0.027092, -0.035398, -0.014628, -0.034746
0.072115, 0.007126, 0.106843, 0.008647, -0.027804, 0.039440, -0.014921, 0.041542
0.067684, 0.000947, 0.099013, -0.000651, -0.027782, 0.031431, -0.014871, 0.034471
0.068522, -0.075958, 0.101826, -0.084403, -0.028136, -0.046748, -0.014974, -0.045044
0.068679, -0.073191, 0.101112, -0.079181, -0.028023, -0.044513, -0.014823, -0.041769
0.062110, -0.088304, 0.085271, -0.090395, -0.027252, -0.061732, -0.014492, -0.058697
0.058820, -0.041554, 0.075372, -0.043939, -0.027402, -0.015085, -0.014599, -0.013397
0.052292, 0.080792, 0.062289, 0.081662, -0.026869, 0.104851, -0.014458, 0.106818
0.051158, -0.032200, 0.058358, -0.030273, -0.027011, -0.006097, -0.014521, -0.005227
0.054873, -0.016141, 0.067288, -0.014653, -0.026455, 0.010085, -0.014113, 0.009915
0.052448, -0.118349, 0.062334, -0.113641, -0.026462, -0.092815, -0.014054, -0.094134
0.051259, -0.127779, 0.060477, -0.126400, -0.026427, -0.103646, -0.013948, -0.104824
0.043928, 0.076569, 0.048852, 0.079274, -0.026979, 0.095906, -0.013931, 0.093952
0.036752, -0.033451, 0.035821, -0.027466, -0.027578, -0.011412, -0.014071, -0.014402
0.039150, 0.000300, 0.041584, 0.005132, -0.026150, 0.028082, -0.013482, 0.023914
0.035182, 0.021442, 0.037211, 0.026636, -0.025076, 0.041911, -0.012905, 0.038628
0.033673, 0.076532, 0.035155, 0.080612, -0.023770, 0.099534, -0.012372, 0.096061
0.034822, -0.046409, 0.037149, -0.041996, -0.023489, -0.021604, -0.012270, -0.025652
0.035680, -0.008434, 0.038110, -0.003758, -0.020087, 0.014292, -0.011063, 0.010695
0.028743, 0.009200, 0.028437, 0.014853, -0.018382, 0.028822, -0.010332, 0.025236
0.027730, -0.074839, 0.027336, -0.069767, -0.017726, -0.055267, -0.010154, -0.059039
0.028739, 0.033189, 0.028758, 0.038407, -0.017595, 0.054213, -0.010107, 0.050449
0.023081, -0.014338, 0.021194, -0.010348, -0.017839, 0.004350, -0.010105, 0.000476
0.025300, 0.012878, 0.024428, 0.017945, -0.016789, 0.034112, -0.009866, 0.030126
0.020589, 0.005395, 0.017941, 0.011196, -0.015404, 0.023728, -0.009177, 0.019937
0.024197, -0.058005, 0.022944, -0.051828, -0.015298, -0.034954, -0.009610, -0.038916
0.025803, 0.057465, 0.025035, 0.063049, -0.015070, 0.081321, -0.009678, 0.077128
0.020168, -0.030000, 0.018314, -0.025382, -0.015467, -0.009925, -0.009585, -0.014124
0.023722, -0.031837, 0.023971, -0.026497, -0.013065, -0.009611, -0.008960, -0.012472
0.016386, -0.057537, 0.018357, -0.054279, -0.010313, -0.040616, -0.008158, -0.042260
0.013512, 0.005734, 0.015717, 0.008700, -0.009797, 0.020104, -0.007891, 0.018998
0.008160, 0.034747, 0.009829, 0.037191, -0.008922, 0.045666, -0.007313, 0.044542
0.007548, -0.038410, 0.009165, -0.036663, -0.006336, -0.029062, -0.006640, -0.029310
0.009727, -0.003381, 0.011396, -0.000351, -0.005124, 0.006090, -0.006285, 0.006302
0.007281, 0.020157, 0.008687, 0.019205, -0.006292, 0.028577, -0.006648, 0.028003
0.006699, -0.012696, 0.007911, -0.013335, -0.005455, -0.005695, -0.006387, -0.006076
0.006524, -0.029708, 0.008574, -0.031114, -0.001916, -0.025860, -0.005209, -0.024860
0.006353, 0.014798, 0.007462, 0.014225, -0.003201, 0.020054, -0.006014, 0.020762
0.008716, 0.003903, 0.010208, 0.002885, -0.012842, 0.016384, -0.008349, 0.011706
0.009672, -0.001383, 0.011859, -0.001796, -0.014330, 0.012559, -0.009498, 0.007563
0.009020, 0.019402, 0.010719, 0.019740, -0.011765, 0.031417, -0.008559, 0.027667
0.008510, 0.053988, 0.009969, 0.054641, -0.010520, 0.064517, -0.009273, 0.061989
0.008305, 0.042912, 0.009442, 0.043526, -0.005924, 0.049972, -0.005168, 0.048448
0.010086, 0.018539, 0.011609, 0.019903, -0.001515, 0.024074, -0.001810, 0.023859
0.011496, -0.013592, 0.013406, -0.011259, 0.001539, -0.009072, 0.000093, -0.008261
0.012454, 0.014806, 0.014623, 0.016197, 0.001429, 0.019947, -0.000844, 0.021081
0.012030, 0.040413, 0.014289, 0.041519, 0.001032, 0.045446, -0.001207, 0.046390
0.012211, -0.024010, 0.014684, -0.022387, 0.002948, -0.019805, 0.001081, -0.018645
0.014995, 0.022514, 0.017982, 0.025997, 0.002036, 0.026796, -0.005354, 0.029052
0.013237, -0.061898, 0.015965, -0.058357, 0.003890, -0.058260, -0.001262, -0.056097
0.012526, 0.043766, 0.015667, 0.046945, 0.009716, 0.044280, 0.006398, 0.047515
0.010007, 0.062922, 0.014131, 0.065642, 0.009640, 0.061939, 0.009240, 0.064346
0.011254, -0.016198, 0.014939, -0.016834, 0.012226, -0.017198, 0.011929, -0.014373
0.012126, -0.045734, 0.014637, -0.047453, 0.016236, -0.047392, 0.018333, -0.042643
0.011909, 0.029428, 0.014157, 0.027332, 0.015859, 0.028367, 0.018880, 0.031374
0.011293, 0.001679, 0.012347, -0.000117, 0.014801, 0.001402, 0.019137, 0.004206
0.011165, -0.004437, 0.012736, -0.004830, 0.016356, -0.004264, 0.019840, -0.001410
0.011864, 0.018884, 0.013509, 0.018195, 0.015732, 0.018985, 0.018971, 0.022415
0.012242, 0.029146, 0.014033, 0.030467, 0.015528, 0.030695, 0.018759, 0.035851
0.009444, -0.027407, 0.010149, -0.026101, 0.018282, -0.025638, 0.022042, -0.018441
0.010410, 0.029189, 0.011030, 0.029749, 0.017847, 0.031123, 0.019708, 0.039647
0.009353, -0.043244, 0.009994, -0.043296, 0.018128, -0.039979, 0.021284, -0.031502
0.010461, 0.009169, 0.011056, 0.007443, 0.017481, 0.013935, 0.017433, 0.021247
0.009188, -0.015373, 0.009354, -0.016795, 0.018229, -0.010393, 0.019528, 0.000686
0.008210, 0.014528, 0.008135, 0.012774, 0.018022, 0.021061, 0.016967, 0.028438
0.009861, 0.047402, 0.010445, 0.046018, 0.018224, 0.054361, 0.017697, 0.061253
0.011598, 0.034527, 0.013532, 0.032464, 0.017311, 0.041176, 0.015333, 0.048686
0.014445, 0.007457, 0.018801, 0.006497, 0.015421, 0.013997, 0.011347, 0.019878
0.015396, -0.002418, 0.021142, -0.002918, 0.014105, 0.003653, 0.007419, 0.008793
0.011470, 0.048788, 0.015134, 0.049168, 0.013921, 0.055016, 0.005107, 0.055715
0.011991, -0.023738, 0.015962, -0.022916, 0.013857, -0.015927, 0.004597, -0.015191
0.012383, 0.027602, 0.016334, 0.028564, 0.012193, 0.034378, 0.000191, 0.029698
0.016367, -0.017807, 0.021731, -0.015674, 0.013014, -0.009861, 0.001972, -0.012520
0.021265, 0.032052, 0.029020, 0.035408, 0.012348, 0.040599, -0.001190, 0.032336
0.017950, 0.026465, 0.024487, 0.029716, 0.012050, 0.036184, -0.000095, 0.029226
0.019463, 0.015335, 0.025761, 0.018578, 0.010791, 0.024610, -0.002826, 0.011206
0.019325, 0.004021, 0.024873, 0.008010, 0.008810, 0.011676, -0.004552, -0.002730
0.018331, 0.014629, 0.023256, 0.019749, 0.007173, 0.021227, -0.005159, 0.006696
0.014288, 0.021952, 0.017381, 0.026303, 0.004696, 0.026642, -0.005583, 0.016191
0.016324, -0.000028, 0.019320, 0.003871, 0.004548, 0.003780, -0.005656, -0.005581
0.016581, 0.004068, 0.018378, 0.009297, 0.003178, 0.007314, -0.006169, -0.003056
0.015812, -0.036289, 0.017242, -0.029310, 0.002540, -0.033387, -0.006136, -0.044605
0.019515, 0.010139, 0.020991, 0.019370, 0.003787, 0.014585, -0.005752, -0.003675
0.017088, 0.036686, 0.020314, 0.051443, 0.004123, 0.042273, -0.004733, 0.029003
0.017839, 0.005183, 0.019585, 0.023236, 0.003494, 0.009515, -0.004682, -0.000094
0.017436, 0.054142, 0.012248, 0.066201, 0.000797, 0.056810, -0.005849, 0.044530
0.017036, -0.017756, 0.009095, -0.008661, -0.000030, -0.015868, -0.005914, -0.028446
0.022111, 0.009721, 0.003484, 0.014918, -0.001166, 0.011480, -0.006915, -0.002724
0.016917, 0.010220, 0.000773, 0.012217, -0.002940, 0.009384, -0.006475, -0.001143
0.019411, -0.021598, 0.000385, -0.019297, -0.002783, -0.021819, -0.006339, -0.036202
0.022287, 0.030168, 0.000163, 0.032997, -0.002694, 0.030628, -0.006231, -0.003673
0.028332, 0.057497, 0.004512, 0.064925, 0.000015, 0.061914, -0.004890, 0.048237
0.029312, 0.044761, 0.000435, 0.050308, -0.002103, 0.048434, -0.005177, 0.036373
0.028457, 0.040231, -0.005521, 0.042432, -0.006466, 0.041120, -0.006404, 0.021605
0.037128, -0.075181, -0.007446, -0.070931, -0.007328, -0.072444, -0.006914, -0.089458
0.041636, 0.044789, -0.010533, 0.049406, -0.009427, 0.049104, -0.007439, 0.038870
0.037718, -0.059967, -0.008218, -0.056327, -0.007293, -0.056723, -0.005678, -0.066472
0.044341, 0.009637, -0.010549, 0.014029, -0.008764, 0.011513, -0.006200, -0.008663
0.046247, 0.000461, -0.006546, 0.011410, -0.006186, 0.008243, -0.005171, -0.008438
0.047512, 0.015691, -0.008352, 0.026552, -0.007487, 0.023451, -0.005123, -0.006029
0.049711, 0.055452, -0.009272, 0.066358, -0.008220, 0.062900, -0.004983, 0.056007
0.054167, 0.029909, -0.010192, 0.040665, -0.009315, 0.036948, -0.004857, 0.027652
0.058890, -0.004408, -0.012614, 0.007807, -0.012477, 0.002169, -0.005424, -0.002847
0.056302, -0.027159, -0.015974, -0.015181, -0.015862, -0.022070, -0.005816, -0.022576
0.052622, 0.011709, -0.018040, 0.022062, -0.017685, 0.011596, -0.005850, 0.010968
0.050285, -0.015157, -0.018673, -0.000747, -0.017951, -0.013395, -0.005738, -0.017560
0.057208, -0.149255, -0.018828, -0.132993, -0.018439, -0.143666, -0.005820, -0.153739
0.056585, 0.003022, -0.019829, 0.017680, -0.018918, 0.008060, -0.005675, -0.003802
0.033956, 0.084247, -0.022004, 0.088026, -0.016102, 0.082219, -0.003909, 0.080929
0.042638, 0.051452, -0.021608, 0.059418, -0.016090, 0.026805, -0.003928, 0.046571
0.048045, 0.040940, -0.023207, 0.049303, -0.019294, 0.038131, -0.004578, 0.033646
