f UK w_hedge, f UK r_hedge, f CAN w_hedge, f CAN r_hedge, f EU w_hedge, f EU r_hedge, f swi w_hedge, f swi r_hedge
0.069982, 0.013993, -0.022476, 0.022451, -0.020144, 0.010730, -0.004985, 0.007609
0.068847, -0.031336, -0.023282, -0.027006, -0.022413, -0.041121, -0.005341, -0.044952
0.061241, 0.037199, -0.023510, 0.041150, -0.024119, 0.020005, -0.005432, 0.018826
0.065973, 0.033464, -0.023217, 0.038790, -0.022838, 0.019175, -0.004993, 0.018735
0.076685, -0.035710, -0.021971, -0.038662, -0.023224, -0.058652, -0.005226, -0.055243
0.076790, 0.046312, -0.023376, 0.044372, -0.024167, 0.023220, -0.005412, 0.024035
0.077295, 0.003521, -0.023109, -0.006110, -0.021914, -0.026015, -0.004918, -0.030186
0.079214, -0.003022, -0.023726, -0.005482, -0.022863, -0.026832, -0.005176, -0.018852
0.078707, -0.010678, -0.023811, -0.012848, -0.021822, -0.027781, -0.004785, -0.024984
0.077200, 0.060553, -0.023650, 0.046475, -0.020798, 0.034811, -0.004642, 0.041227
0.080634, 0.029612, -0.023426, 0.024380, -0.020048, 0.011309, -0.004497, 0.015418
0.077262, 0.079700, -0.024488, 0.076815, -0.020918, 0.065076, -0.004668, 0.072709
0.077080, -0.059494, -0.024937, -0.061371, -0.021485, -0.072252, -0.004806, -0.065946
0.077839, 0.003626, -0.027038, -0.001475, -0.023043, -0.012208, -0.005060, -0.003861
0.077385, 0.071505, -0.025479, 0.065372, -0.021561, 0.056902, -0.004846, 0.064039
0.077101, -0.035196, -0.026109, -0.045642, -0.021250, -0.054285, -0.004819, -0.049349
0.072761, -0.018010, -0.028947, -0.029072, -0.021848, -0.035981, -0.004891, -0.030474
0.074006, 0.040216, -0.029155, 0.029353, -0.020578, 0.023939, -0.004689, 0.028990
0.075101, -0.021062, -0.028845, -0.032252, -0.020019, -0.036034, -0.004616, -0.032867
0.073843, 0.039205, -0.029479, 0.028403, -0.020422, 0.025115, -0.004689, 0.027726
0.071594, -0.046079, -0.029344, -0.057289, -0.019518, -0.059538, -0.004523, -0.057937
0.072235, -0.007106, -0.029730, -0.021704, -0.020232, -0.023745, -0.004669, -0.021637
0.073529, -0.052693, -0.028864, -0.064933, -0.019349, -0.067647, -0.004462, -0.064968
0.076713, 0.011515, -0.028390, 0.015915, -0.019420, 0.013383, -0.004486, 0.013634
0.078378, 0.019204, -0.027089, 0.022905, -0.018281, 0.021760, -0.004245, 0.021097
0.076908, -0.095563, -0.027074, -0.089404, -0.018008, -0.089669, -0.004173, -0.090715
0.076954, -0.087920, -0.027115, -0.073082, -0.017933, -0.072678, -0.004158, -0.075968
0.070747, 0.083605, -0.026751, 0.102898, -0.017858, 0.101719, -0.004071, 0.098550
0.058750, -0.039896, -0.026982, -0.020074, -0.017967, -0.021110, -0.003973, -0.024574
0.071201, -0.043362, -0.024944, -0.020352, -0.017288, -0.019832, -0.003968, -0.023623
0.063285, -0.034237, -0.025353, -0.014516, -0.017583, -0.013973, -0.003968, -0.017518
0.055628, -0.083592, -0.025643, -0.053823, -0.017845, -0.054272, -0.003961, -0.060267
0.051969, -0.109573, -0.027747, -0.081412, -0.019067, -0.078737, -0.004094, -0.086334
0.031773, 0.025450, -0.029215, 0.044917, -0.019698, 0.049397, -0.004065, 0.041486
0.005838, 0.027115, -0.029222, 0.033945, -0.020101, 0.039295, -0.003898, 0.029999
0.014195, 0.009655, -0.030449, 0.019884, -0.019529, 0.025969, -0.003890, 0.016611
0.016552, -0.043978, -0.025540, -0.032958, -0.017783, -0.027188, -0.003680, -0.035530
0.018894, 0.004762, -0.030445, 0.019347, -0.018160, 0.023701, -0.003800, 0.014341
0.010579, 0.020929, -0.032817, 0.033838, -0.018590, 0.035586, -0.003772, 0.025797
0.011859, -0.034449, -0.034054, -0.018430, -0.018256, -0.019271, -0.003761, -0.030341
0.015502, -0.027924, -0.042162, -0.006422, -0.018643, -0.010214, -0.003955, -0.021612
0.009479, -0.063208, -0.044144, -0.043025, -0.018439, -0.049686, -0.003764, -0.063290
0.003953, -0.102415, -0.037081, -0.085964, -0.017147, -0.092094, -0.003358, -0.105683
-0.005202, 0.030265, -0.036626, 0.040703, -0.016949, 0.035248, -0.002851, 0.022714
-0.018847, -0.073450, -0.044979, -0.066171, -0.017665, -0.075424, -0.002022, -0.087575
-0.011841, 0.066202, -0.062500, 0.089835, -0.019556, 0.069548, -0.002798, 0.055491
-0.022942, 0.058322, -0.068667, 0.078348, -0.020092, 0.054061, -0.002125, 0.039912
-0.012698, -0.037822, -0.065145, -0.011422, -0.019994, -0.035431, -0.002692, -0.049701
-0.007584, -0.016360, -0.047646, 0.006199, -0.018635, -0.011726, -0.002769, -0.024887
-0.012433, -0.018247, -0.051938, 0.004672, -0.019458, -0.016476, -0.002560, -0.037393
-0.014883, 0.017913, -0.048869, 0.039623, -0.019287, 0.018494, -0.002185, -0.002027
-0.018872, 0.092515, -0.045224, 0.108194, -0.018222, 0.088622, -0.001155, 0.074941
-0.018501, 0.077940, -0.036510, 0.088884, -0.017032, 0.073377, -0.000812, 0.062338
-0.011246, 0.019960, -0.019468, 0.024745, -0.015289, 0.019689, -0.001809, 0.004745
-0.004898, 0.011855, -0.008041, 0.013459, -0.014361, 0.015464, -0.002515, -0.002655
-0.004351, 0.039162, -0.005106, 0.039138, -0.013546, 0.042799, -0.002419, 0.019198
-0.003463, 0.023633, -0.003631, 0.023361, -0.013528, 0.027692, -0.002456, 0.002537
0.003332, 0.040135, 0.001059, 0.041922, -0.016086, 0.050772, -0.004075, 0.023424
0.004234, 0.020619, 0.003282, 0.021820, -0.015255, 0.031668, -0.003885, 0.007056
0.005367, 0.045704, 0.009018, 0.044625, -0.012245, 0.056058, -0.003694, 0.031002
0.005703, 0.015368, 0.010846, 0.013662, -0.007686, 0.023198, -0.003424, 0.005667
0.007968, 0.019771, 0.014427, 0.018284, -0.004884, 0.028045, -0.003505, 0.008438
0.008594, -0.015403, 0.015270, -0.016230, -0.003752, -0.007171, -0.003479, -0.025145
0.009875, -0.030322, 0.016438, -0.030675, -0.004050, -0.020640, -0.003836, -0.043019
0.008722, -0.003424, 0.015536, -0.002743, -0.002329, 0.003695, -0.003367, -0.005645
0.006806, 0.011606, 0.013806, 0.012730, -0.001021, 0.016494, -0.002731, 0.008136
0.006680, -0.028861, 0.013254, -0.027611, -0.003098, -0.023817, -0.003044, -0.034130
0.007196, 0.002593, 0.014288, 0.003961, -0.000093, 0.007097, -0.002796, 0.000732
0.005932, 0.025303, 0.013455, 0.025924, -0.000677, 0.028912, -0.002790, 0.021977
0.006069, 0.009736, 0.013580, 0.011262, -0.000799, 0.012946, -0.002871, 0.005161
0.007030, 0.058165, 0.014156, 0.060473, -0.001346, 0.061507, -0.003121, 0.053441
0.007692, 0.016841, 0.015993, 0.020460, 0.002077, 0.020812, -0.002919, 0.012049
0.009468, -0.015036, 0.017274, -0.010066, 0.003662, -0.009874, -0.003105, -0.019618
0.009822, 0.025947, 0.019099, 0.032502, 0.009118, 0.033049, -0.002885, 0.021251
0.009534, -0.027673, 0.018007, -0.020612, 0.005947, -0.021471, -0.003015, -0.033792
0.010156, -0.020050, 0.017570, -0.012384, 0.005303, -0.014081, -0.003149, -0.027339
0.009687, 0.021373, 0.019475, 0.030165, 0.010409, 0.029951, -0.002780, 0.013976
0.009075, -0.001446, 0.019170, 0.008624, 0.008885, 0.006615, -0.002739, -0.010323
0.009289, 0.037737, 0.017631, 0.045907, 0.006239, 0.043997, -0.002901, 0.026707
0.009441, 0.012998, 0.017913, 0.020632, 0.007649, 0.020484, -0.002755, 0.002548
0.009671, 0.012500, 0.015401, 0.018766, 0.003555, 0.016750, -0.003035, -0.000306
0.009949, -0.021063, 0.015176, -0.015554, 0.003444, -0.017783, -0.002990, -0.030907
0.009733, 0.043644, 0.013562, 0.048789, 0.000714, 0.044631, -0.003095, 0.031027
0.009546, 0.012855, 0.013886, 0.016957, 0.001509, 0.014073, -0.002946, 0.000359
0.009274, 0.045117, 0.010884, 0.047189, -0.003198, 0.042450, -0.003268, 0.033937
0.009213, 0.003948, 0.010361, 0.006050, -0.003650, 0.000389, -0.003248, -0.007254
0.009077, 0.024068, 0.009296, 0.025273, -0.005751, 0.017867, -0.003408, 0.011971
0.009526, 0.026898, 0.008837, 0.027699, -0.006028, 0.021284, -0.003439, 0.015962
0.010149, -0.025887, 0.008586, -0.025364, -0.006602, -0.032845, -0.003542, -0.037307
0.008732, 0.000316, 0.006548, 0.000721, -0.008365, -0.007433, -0.003577, -0.011297
0.009364, -0.005442, 0.007603, -0.004415, -0.006476, -0.010747, -0.003427, -0.014642
0.009787, 0.038611, 0.007862, 0.039729, -0.005980, 0.034207, -0.003386, 0.030747
0.010125, 0.009662, 0.008186, 0.011131, -0.005413, 0.006046, -0.003336, 0.001924
0.011577, 0.033142, 0.008647, 0.035020, -0.005633, 0.030094, -0.003446, 0.026262
0.014024, 0.026009, 0.009895, 0.028239, -0.004110, 0.023956, -0.003465, 0.020453
0.012939, 0.021821, 0.008390, 0.024141, -0.005882, 0.019380, -0.003539, 0.016572
0.012135, 0.021261, 0.007265, 0.023308, -0.007253, 0.018575, -0.003581, 0.015991
0.011804, -0.020360, 0.006486, -0.018324, -0.008216, -0.023036, -0.003614, -0.025080
0.013244, 0.026972, 0.006200, 0.029196, -0.007852, 0.024718, -0.003654, 0.022480
0.012914, 0.039884, 0.006489, 0.042308, -0.007865, 0.038260, -0.003599, 0.036134
0.012284, 0.034419, 0.005103, 0.036633, -0.009153, 0.032959, -0.003634, 0.031797
0.013722, -0.004851, 0.004845, -0.002658, -0.009166, -0.006128, -0.003725, -0.007646
0.015015, -0.038293, 0.004775, -0.035723, -0.009313, -0.039034, -0.003791, -0.040815
0.017447, 0.003391, 0.007055, 0.006590, -0.007826, 0.004917, -0.003900, 0.002044
0.021534, 0.052400, 0.011955, 0.057099, -0.004644, 0.056616, -0.004078, 0.052501
0.020938, -0.000550, 0.010980, 0.004360, -0.005472, 0.003142, -0.004032, -0.000492
0.026008, -0.033331, 0.015082, -0.027328, -0.003451, -0.027970, -0.004320, -0.031579
0.023883, -0.018790, 0.012063, -0.011262, -0.005488, -0.006928, -0.004239, -0.009711
0.021886, -0.072829, 0.009888, -0.064459, -0.006952, -0.060782, -0.004129, -0.063964
0.024578, -0.040843, 0.013002, -0.031475, -0.005654, -0.026715, -0.004216, -0.029235
0.023744, 0.009777, 0.013725, 0.019655, -0.006164, 0.023935, -0.004241, 0.020815
0.024331, 0.023240, 0.015589, 0.033790, -0.006031, 0.038958, -0.004520, 0.035800
0.025182, -0.008346, 0.016145, 0.002207, -0.005832, 0.007860, -0.004615, 0.004769
0.022615, -0.091533, 0.010452, -0.081582, -0.007199, -0.076616, -0.004210, -0.080277
0.019272, -0.037676, 0.004542, -0.029033, -0.009041, -0.024254, -0.003931, -0.028641
0.015105, -0.012076, 0.001086, -0.009337, -0.011583, -0.009053, -0.003942, -0.012955
0.013637, -0.118052, -0.000738, -0.110913, -0.012652, -0.105670, -0.004003, -0.111730
0.011638, -0.190394, -0.004419, -0.187157, -0.014044, -0.181212, -0.003879, -0.198045
0.004800, -0.137286, -0.010346, -0.125396, -0.017764, -0.118994, -0.003965, -0.133765
-0.003664, 0.113014, -0.015754, 0.120318, -0.024300, 0.127640, -0.002541, 0.111119
-0.016254, -0.088272, -0.039669, -0.084438, -0.031321, -0.077755, -0.002399, -0.100848
-0.012083, -0.131865, -0.030646, -0.135082, -0.027581, -0.122580, -0.001880, -0.138309
-0.019930, 0.157193, -0.041129, 0.155852, -0.031713, 0.164473, -0.001474, 0.142623
-0.027873, 0.112448, -0.047242, 0.085441, -0.036492, 0.120267, -0.000779, 0.099104
-0.021581, 0.125788, -0.042845, 0.105993, -0.031862, 0.132715, -0.002618, 0.106981
-0.015207, -0.014896, -0.049208, -0.041076, -0.027684, -0.013372, -0.003507, -0.026321
-0.009116, 0.098971, -0.056753, 0.079412, -0.023706, 0.101068, -0.004465, 0.089197
-0.011768, 0.008771, -0.053948, 0.003417, -0.024289, 0.013303, -0.004292, 0.002086
-0.006618, 0.038471, -0.059051, 0.039708, -0.022854, 0.041553, -0.005043, 0.031213
-0.007190, 0.011736, -0.060104, 0.025096, -0.022626, 0.021099, -0.005073, 0.006389
-0.007357, 0.062168, -0.061620, 0.052681, -0.022035, 0.066027, -0.005028, 0.052578
-0.007645, 0.002662, -0.060464, -0.001689, -0.021255, 0.007532, -0.005038, -0.003039
-0.008760, -0.027284, -0.063150, -0.022282, -0.019667, -0.020644, -0.004864, -0.033534
-0.010068, 0.017287, -0.063121, 0.012203, -0.019293, 0.018547, -0.004804, 0.009007
-0.011932, 0.071370, -0.064161, 0.073560, -0.020289, 0.077597, -0.005002, 0.059774
-0.012594, -0.000699, -0.063477, 0.023291, -0.019487, 0.001487, -0.004876, -0.024064
-0.007342, -0.104388, -0.063189, -0.082188, -0.017871, -0.101833, -0.005547, -0.162128
-0.006846, -0.025808, -0.062478, 0.008206, -0.018515, -0.019517, -0.005618, -0.031538
-0.011709, 0.118492, -0.069385, 0.156888, -0.019578, 0.126711, -0.001389, 0.111336
-0.013453, -0.026263, -0.070227, 0.018777, -0.020637, -0.017596, -0.001413, -0.035582
-0.007546, 0.070262, -0.048652, 0.102713, -0.014454, 0.078581, -0.001428, 0.065535
-0.009605, 0.037229, -0.048424, 0.063382, -0.015291, 0.044673, -0.001129, 0.033011
-0.006922, 0.000232, -0.035543, 0.023078, -0.011771, 0.006252, -0.001328, -0.004548
-0.005307, 0.061738, -0.031589, 0.078279, -0.011393, 0.067943, -0.001700, 0.055808
-0.005531, 0.037498, -0.027418, 0.055563, -0.009324, 0.040396, -0.001156, 0.032605
-0.002911, 0.012115, -0.020453, 0.026504, -0.006150, 0.015842, -0.001510, 0.010716
-0.000170, 0.003612, -0.013704, 0.013681, -0.002589, 0.005744, -0.001144, 0.001170
0.000589, 0.040121, -0.011524, 0.050480, -0.001816, 0.042193, -0.001132, 0.039935
0.001016, -0.036326, -0.009858, -0.027084, -0.000350, -0.035283, -0.000894, -0.036019
0.004220, 0.004893, -0.004591, 0.011407, 0.003041, 0.004966, -0.000714, 0.007271
0.001363, -0.034467, -0.008121, -0.027655, -0.000311, -0.033425, -0.000988, -0.021826
0.001760, -0.070923, -0.007093, -0.064888, 0.000070, -0.069970, -0.001056, -0.053362
0.000030, -0.104278, -0.009253, -0.098867, -0.001863, -0.102701, -0.001795, -0.104156
-0.003060, 0.095729, -0.012529, 0.102724, -0.003752, 0.097374, -0.002748, 0.094276
-0.006214, 0.014809, -0.017363, 0.023733, -0.008291, 0.017310, -0.002747, 0.007366
-0.002056, 0.004027, -0.010594, 0.010704, -0.002744, 0.005382, -0.002651, -0.001832
-0.001488, 0.062520, -0.009035, 0.069040, -0.001624, 0.063078, -0.002613, 0.049714
-0.001366, 0.040841, -0.008102, 0.046478, -0.000904, 0.040140, -0.002561, 0.038284
0.001461, 0.017613, -0.003534, 0.021145, 0.002366, 0.016696, -0.002883, 0.005073
0.003212, -0.019554, -0.001461, -0.016580, 0.002273, -0.019002, -0.002979, -0.031644
0.003811, -0.109229, 0.000049, -0.106592, 0.003411, -0.108576, -0.002962, -0.119450
0.002856, 0.076496, -0.000176, 0.078221, 0.003485, 0.075352, -0.002668, 0.087907
-0.002479, 0.008874, -0.005317, 0.011635, 0.000903, 0.006570, -0.001858, 0.013055
0.000427, 0.028853, -0.001277, 0.030136, 0.003705, 0.026173, -0.001414, 0.033403
0.001003, 0.031725, -0.001186, 0.033306, 0.003410, 0.029591, -0.001426, 0.036617
0.002084, -0.004310, 0.000192, -0.003325, 0.004396, -0.006461, -0.001276, -0.000071
0.002544, 0.001875, 0.001584, 0.002105, 0.005691, -0.000824, -0.001037, 0.005263
0.002357, 0.019080, 0.001411, 0.019191, 0.005473, 0.016187, -0.001035, 0.032514
0.002781, 0.058218, 0.001460, 0.058527, 0.005402, 0.055743, -0.001057, 0.071510
0.003598, -0.009933, 0.002316, -0.010053, 0.006003, -0.012287, -0.000611, -0.001477
0.007109, 0.017364, 0.005077, 0.017721, 0.008350, 0.015842, 0.000126, 0.020677
0.007725, 0.025906, 0.004928, 0.026215, 0.008433, 0.047294, 0.000026, 0.030020
0.007835, 0.004202, 0.005462, 0.004042, 0.008596, 0.002833, 0.000195, 0.007372
0.007660, -0.022028, 0.006128, -0.022334, 0.004869, -0.020653, 0.000326, -0.019159
0.007755, 0.052520, 0.006215, 0.051827, 0.004935, 0.056045, 0.000354, 0.049033
0.009519, -0.032051, 0.006071, -0.031169, 0.005641, -0.027221, 0.000265, -0.031326
0.012098, 0.044189, 0.008032, 0.044570, 0.006381, 0.051720, 0.000901, 0.044193
0.011033, 0.021916, 0.006854, 0.023850, 0.006230, 0.028565, 0.000501, 0.026103
0.015836, 0.006976, 0.008879, 0.009781, 0.007641, 0.015881, 0.000654, 0.014996
0.019559, 0.014020, 0.009418, 0.018273, 0.010440, 0.018189, 0.000496, 0.020961
0.026261, -0.069466, 0.013934, -0.064359, 0.014493, -0.063922, 0.000513, -0.055110
0.022922, 0.039968, 0.011958, 0.045389, 0.012448, 0.045754, 0.000589, 0.053468
0.024267, 0.001408, 0.011324, 0.009991, 0.013153, 0.009281, 0.000436, 0.018505
0.028323, -0.011241, 0.012875, -0.004394, 0.016656, -0.006044, 0.000447, 0.005159
0.025324, 0.004446, 0.012319, 0.010121, 0.014593, 0.020391, 0.000763, 0.018042
0.022934, 0.007145, 0.013319, 0.012333, 0.012818, 0.018602, 0.000825, 0.020348
0.020507, -0.039454, 0.014461, -0.038578, 0.010873, 0.006626, 0.001009, -0.033215
0.021248, 0.013697, 0.014588, 0.015612, 0.011289, 0.051434, 0.001028, 0.020916
0.018800, -0.050488, 0.014579, -0.049951, 0.010221, -0.022408, 0.001011, -0.044489
0.019410, -0.003139, 0.014981, -0.000628, 0.007863, 0.016685, 0.001065, 0.009636
0.017048, 0.013500, 0.013564, 0.011116, 0.008491, 0.053622, 0.000953, 0.017317
0.017080, -0.022993, 0.013551, -0.021260, 0.008279, -0.016104, 0.000966, -0.011346
0.016324, -0.018471, 0.013970, -0.018761, 0.004628, 0.004344, 0.001019, -0.009220
0.015820, 0.046123, 0.013455, 0.043554, 0.004500, 0.218694, 0.001013, 0.049396
0.016532, -0.028539, 0.013214, -0.028296, 0.004662, 0.087506, 0.001007, -0.019904
0.017104, 0.019089, 0.013895, 0.019997, -0.001083, 0.024472, 0.001039, 0.029372
0.015011, -0.007580, 0.013083, -0.008630, -0.000605, -0.020235, 0.001062, -0.002685
0.015889, -0.028325, 0.013674, -0.026196, -0.000681, -0.016742, 0.001073, -0.016930
0.017184, 0.002403, 0.014726, 0.006030, -0.000435, 0.007009, 0.000675, 0.007892
0.017081, -0.085841, 0.014795, -0.086964, -0.000421, -0.093706, 0.000663, -0.090077
0.014903, -0.013443, 0.013000, -0.011296, -0.000457, -0.005583, 0.000731, -0.006665
0.016562, 0.085041, 0.014204, 0.081568, -0.000105, 0.078828, 0.000638, 0.080296
0.015248, 0.003081, 0.012874, 0.001316, -0.000122, -0.001314, 0.000679, -0.001842
0.013888, -0.024891, 0.012366, -0.026034, -0.000624, -0.029136, 0.000742, -0.027576
0.014052, -0.057698, 0.012617, -0.059854, -0.000618, -0.060997, 0.000739, -0.058004
0.013220, 0.010219, 0.011721, 0.009812, -0.000594, 0.016841, 0.000779, 0.006933
0.012241, 0.046641, 0.010705, 0.044885, -0.000492, 0.046239, 0.000756, 0.043203
0.012114, 0.030087, 0.010630, 0.024680, -0.000439, 0.026341, 0.000760, 0.022864
0.011799, 0.002290, 0.010685, 0.000453, -0.000400, 0.003597, 0.000795, 0.001337
0.009832, -0.002870, 0.009802, -0.008534, -0.000380, -0.004427, 0.000824, -0.006774
0.011428, 0.044648, 0.011055, 0.030361, -0.000370, 0.036548, 0.000818, 0.034192
0.011463, 0.005745, 0.010988, 0.001255, -0.000375, 0.007151, 0.000816, 0.004825
0.010780, 0.009020, 0.012514, -0.000497, -0.000342, 0.005965, 0.001068, -0.000113
0.013138, -0.012506, 0.014426, -0.017782, -0.000323, -0.017011, 0.001734, -0.024254
0.014938, 0.041001, 0.016686, 0.018019, -0.000286, 0.019616, 0.001736, 0.013951
0.012982, 0.045985, 0.014863, 0.028951, -0.000361, 0.028512, 0.001716, 0.024404
0.010037, 0.038928, 0.014808, 0.020705, -0.000323, 0.025094, 0.001738, 0.020748
0.007517, 0.054170, 0.014916, 0.047714, -0.000304, 0.038932, 0.001764, 0.033663
0.004007, 0.004598, 0.013579, 0.008023, -0.000297, 0.000549, 0.001938, -0.005070
-0.000242, 0.019703, 0.011521, 0.022147, -0.000259, 0.021466, 0.001988, 0.015589
-0.000541, 0.024212, 0.011079, 0.033764, -0.000262, 0.027462, 0.002046, 0.020543
-0.001282, -0.004523, 0.011711, 0.005900, -0.000236, 0.001592, 0.002045, -0.005137
-0.001309, 0.021695, 0.014461, 0.028912, -0.000191, 0.027856, 0.001860, 0.021932
-0.001749, -0.006071, 0.012225, 0.001081, -0.000203, 0.001816, 0.001722, -0.004146
-0.002870, 0.016755, 0.012146, 0.024945, -0.000172, 0.023067, 0.001748, 0.016958
-0.002674, 0.016137, 0.011505, 0.020576, -0.000174, 0.020227, 0.001706, 0.015290
-0.003249, 0.008490, 0.010454, 0.022232, -0.000143, 0.017042, 0.001689, 0.010540
-0.003437, 0.008687, 0.010738, 0.021067, -0.000118, 0.018587, 0.001716, 0.011635
-0.003666, 0.044074, 0.010353, 0.054108, -0.000095, 0.053552, 0.001733, 0.047152
